Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,-0.003576271003112197,0.0,0.003576271003112197
1,DayOfMonth,-0.0018646675162017345,0.0,0.0018646675162017345
2,Week,7.021376950433478e-05,7.021376950433478e-05,0.0
3,Month,0.00011347037070663646,0.00011347037070663646,0.0
4,Year,0.0,0.0,-0.0
5,DayOfYear,0.00023345474619418383,0.00023345474619418383,0.0
6,DayOfWeek,-0.037740543484687805,0.0,0.037740543484687805
7,Open,0.0,0.0,-0.0
8,Promo,-0.028649942949414253,0.0,0.028649942949414253
9,SchoolHoliday,-8.917894592741504e-05,0.0,8.917894592741504e-05
10,StateHoliday,4.3081581679871306e-05,4.3081581679871306e-05,0.0
11,StoreType,-0.012709901668131351,0.0,0.012709901668131351
12,Assortment,-0.004451786633580923,0.0,0.004451786633580923
13,CompetitionDistance,-0.0009699953370727599,0.0,0.0009699953370727599
14,AvgSales,-0.04444026201963425,0.0,0.04444026201963425
15,AvgCustomers,-0.027206117287278175,0.0,0.027206117287278175
16,AvgSalesPerCustomer,-0.014394247904419899,0.0,0.014394247904419899
