Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,-0.0018859393894672394,0.0,0.0018859393894672394
1,DayOfMonth,-0.0009843282168731093,0.0,0.0009843282168731093
2,Week,2.6443351089255884e-05,2.6443351089255884e-05,0.0
3,Month,4.070003706146963e-05,4.070003706146963e-05,0.0
4,Year,0.0,0.0,-0.0
5,DayOfYear,9.140221663983539e-05,9.140221663983539e-05,0.0
6,DayOfWeek,-0.0176375824958086,0.0,0.0176375824958086
7,Open,0.0,0.0,-0.0
8,Promo,-0.01394369825720787,0.0,0.01394369825720787
9,SchoolHoliday,-4.70939812657889e-05,0.0,4.70939812657889e-05
10,StateHoliday,1.6556958144064993e-05,1.6556958144064993e-05,0.0
11,StoreType,-0.006596473045647144,0.0,0.006596473045647144
12,Assortment,-0.0023458448704332113,0.0,0.0023458448704332113
13,CompetitionDistance,-0.0005121869035065174,0.0,0.0005121869035065174
14,AvgSales,-0.021991422399878502,0.0,0.021991422399878502
15,AvgCustomers,-0.013336462900042534,0.0,0.013336462900042534
16,AvgSalesPerCustomer,-0.0074349199421703815,0.0,0.0074349199421703815
