Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,-0.16587169468402863,0.0,0.16587169468402863
1,DayOfMonth,-0.1606881320476532,0.0,0.1606881320476532
2,Week,0.0029794760048389435,0.004296776372939348,0.001317300251685083
3,Month,0.0072458162903785706,0.007307618856430054,6.180236232466996e-05
4,Year,0.0,0.0,-0.0
5,DayOfYear,0.0188444796949625,0.019593240693211555,0.0007487614057026803
6,DayOfWeek,-2.135636329650879,0.0,2.135636329650879
7,Open,0.0,0.0,-0.0
8,Promo,-1.7767963409423828,0.0,1.7767963409423828
9,SchoolHoliday,-0.006151590030640364,0.0,0.006151590030640364
10,StateHoliday,0.0017984320875257254,0.0017984320875257254,0.0
11,StoreType,-0.7651686668395996,0.0,0.7651686668395996
12,Assortment,-0.2705501317977905,0.0,0.2705501317977905
13,CompetitionDistance,-0.026181701570749283,0.025257978588342667,0.05143968015909195
14,AvgSales,-2.823826313018799,0.0,2.823826313018799
15,AvgCustomers,-1.6786915063858032,0.0,1.6786915063858032
16,AvgSalesPerCustomer,-0.9118273258209229,0.0,0.9118273258209229
