Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,-0.014574667438864708,0.0,0.014574667438864708
1,DayOfMonth,-0.010529686696827412,0.0,0.010529686696827412
2,Week,0.00015197083121165633,0.00020015944028273225,4.81886017951183e-05
3,Month,0.0003440520085860044,0.0003440520085860044,0.0
4,Year,0.0,0.0,-0.0
5,DayOfYear,0.0012239848729223013,0.001256522024050355,3.2537125662202016e-05
6,DayOfWeek,-0.1824062615633011,0.0,0.1824062615633011
7,Open,0.0,0.0,-0.0
8,Promo,-0.14088736474514008,0.0,0.14088736474514008
9,SchoolHoliday,-0.00044727325439453125,0.0,0.00044727325439453125
10,StateHoliday,0.00010215535439783707,0.00010215535439783707,0.0
11,StoreType,-0.05910724774003029,0.0,0.05910724774003029
12,Assortment,-0.02073809690773487,0.0,0.02073809690773487
13,CompetitionDistance,-0.0030393600463867188,0.0011433432810008526,0.004182703327387571
14,AvgSales,-0.2622887194156647,0.0,0.2622887194156647
15,AvgCustomers,-0.13262566924095154,0.0,0.13262566924095154
16,AvgSalesPerCustomer,-0.06918590515851974,0.0,0.06918590515851974
