Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,0.006935539655387402,0.00713325897231698,0.00019771911320276558
1,DayOfMonth,-0.20769424736499786,0.0,0.20769424736499786
2,Week,0.003251384710893035,0.0035172635689377785,0.00026587877073325217
3,Month,0.0027402432169765234,0.0030929625499993563,0.0003527192457113415
4,Year,0.0,0.0,-0.0
5,DayOfYear,0.017274297773838043,0.017275027930736542,7.292803729797015e-07
6,DayOfWeek,-0.674757182598114,0.0,0.674757182598114
7,Open,0.0,0.0,-0.0
8,Promo,-1.0208395719528198,0.0,1.0208395719528198
9,SchoolHoliday,-0.0007871739799156785,0.00017051136819645762,0.0009576853481121361
10,StateHoliday,-8.207205246435478e-05,6.313884659903124e-05,0.00014521089906338602
11,StoreType,-0.0934055969119072,0.0,0.0934055969119072
12,Assortment,-0.04415345564484596,0.0,0.04415345564484596
13,CompetitionDistance,0.009814824908971786,0.011658726260066032,0.0018439011182636023
14,AvgSales,-1.8752497434616089,0.0,1.8752497434616089
15,AvgCustomers,-0.7272005081176758,0.0,0.7272005081176758
16,AvgSalesPerCustomer,-0.23486268520355225,0.0,0.23486268520355225
