Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,-0.0921119824051857,0.0,0.0921119824051857
1,DayOfMonth,-0.09245648235082626,0.0,0.09245648235082626
2,Week,0.0010920122731477022,0.0018612629501149058,0.0007692506187595427
3,Month,0.003056526416912675,0.0030921208672225475,3.5594490327639505e-05
4,Year,0.0,0.0,-0.0
5,DayOfYear,0.009810451418161392,0.010211892426013947,0.00040144077502191067
6,DayOfWeek,-1.364686131477356,0.0,1.364686131477356
7,Open,0.0,0.0,-0.0
8,Promo,-1.0925734043121338,0.0,1.0925734043121338
9,SchoolHoliday,-0.0035113722551614046,0.0,0.0035113722551614046
10,StateHoliday,0.0007469230913557112,0.0007469230913557112,0.0
11,StoreType,-0.432104229927063,0.0,0.432104229927063
12,Assortment,-0.1522287130355835,0.0,0.1522287130355835
13,CompetitionDistance,-0.012203257530927658,0.015903780236840248,0.028107037767767906
14,AvgSales,-2.0518412590026855,0.0,2.0518412590026855
15,AvgCustomers,-1.018686294555664,0.0,1.018686294555664
16,AvgSalesPerCustomer,-0.5232029557228088,0.0,0.5232029557228088
