Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,-0.00107871787622571,0.0,0.00107871787622571
1,DayOfMonth,-0.0005624434561468661,0.0,0.0005624434561468661
2,Week,1.0742860467871651e-05,1.0742860467871651e-05,0.0
3,Month,1.7362483049510047e-05,1.7362483049510047e-05,0.0
4,Year,0.0,0.0,-0.0
5,DayOfYear,7.343292236328125e-05,7.343292236328125e-05,0.0
6,DayOfWeek,-0.011584814637899399,0.0,0.011584814637899399
7,Open,0.0,0.0,-0.0
8,Promo,-0.008650611154735088,0.0,0.008650611154735088
9,SchoolHoliday,-2.6899226213572547e-05,0.0,2.6899226213572547e-05
10,StateHoliday,6.591572400793666e-06,6.591572400793666e-06,0.0
11,StoreType,-0.0038337146397680044,0.0,0.0038337146397680044
12,Assortment,-0.0013428014935925603,0.0,0.0013428014935925603
13,CompetitionDistance,-0.0002925816806964576,0.0,0.0002925816806964576
14,AvgSales,-0.01593960076570511,0.0,0.01593960076570511
15,AvgCustomers,-0.008211248554289341,0.0,0.008211248554289341
16,AvgSalesPerCustomer,-0.004341770429164171,0.0,0.004341770429164171
