Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,0.005572168622165918,0.005884598940610886,0.00031243014382198453
1,DayOfMonth,-0.24327817559242249,0.0,0.24327817559242249
2,Week,0.0026122652925550938,0.0036894967779517174,0.0010772314853966236
3,Month,0.003524539526551962,0.004317483399063349,0.0007929439889267087
4,Year,0.0,0.0,-0.0
5,DayOfYear,0.015179431065917015,0.015182849019765854,3.4178924579464365e-06
6,DayOfWeek,-0.7736761569976807,0.0,0.7736761569976807
7,Open,0.0,0.0,-0.0
8,Promo,-1.0815709829330444,0.0,1.0815709829330444
9,SchoolHoliday,-0.0013259354745969176,0.0008509900653734803,0.002176925539970398
10,StateHoliday,-7.296429248526692e-05,4.329954390414059e-05,0.00011626383638940752
11,StoreType,-0.14918239414691925,0.0,0.14918239414691925
12,Assortment,-0.06823882460594177,0.0,0.06823882460594177
13,CompetitionDistance,0.0036859451793134212,0.008623382076621056,0.004937436897307634
14,AvgSales,-1.7161965370178223,0.0,1.7161965370178223
15,AvgCustomers,-0.8426182270050049,0.0,0.8426182270050049
16,AvgSalesPerCustomer,-0.3188692033290863,0.0,0.3188692033290863
