Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,-0.04857248812913895,0.0,0.04857248812913895
1,DayOfMonth,-0.03494853526353836,0.0,0.03494853526353836
2,Week,0.0008993576047942042,0.0010613462654873729,0.0001619886461412534
3,Month,0.0018409346230328083,0.0018409346230328083,0.0
4,Year,0.0,0.0,-0.0
5,DayOfYear,0.005897814873605967,0.006007257383316755,0.00010944266250589862
6,DayOfWeek,-0.5960298776626587,0.0,0.5960298776626587
7,Open,0.0,0.0,-0.0
8,Promo,-0.468170166015625,0.0,0.468170166015625
9,SchoolHoliday,-0.0014883779222145677,0.0,0.0014883779222145677
10,StateHoliday,0.0005458206287585199,0.0005458206287585199,0.0
11,StoreType,-0.19702674448490143,0.0,0.19702674448490143
12,Assortment,-0.06904353946447372,0.0,0.06904353946447372
13,CompetitionDistance,-0.008222328498959541,0.0058275251649320126,0.014049854129552841
14,AvgSales,-0.7204350829124451,0.0,0.7204350829124451
15,AvgCustomers,-0.4414268136024475,0.0,0.4414268136024475
16,AvgSalesPerCustomer,-0.23005737364292145,0.0,0.23005737364292145
