Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,0.006982744205743074,0.007394928019493818,0.00041218390106223524
1,DayOfMonth,-0.3004865050315857,0.0,0.3004865050315857
2,Week,0.0032425839453935623,0.004607760813087225,0.0013651768676936626
3,Month,0.0044197700917720795,0.00539276422932744,0.0009729941375553608
4,Year,0.0,0.0,-0.0
5,DayOfYear,0.018732383847236633,0.018736183643341064,3.799985279329121e-06
6,DayOfWeek,-0.9601773023605347,0.0,0.9601773023605347
7,Open,0.0,0.0,-0.0
8,Promo,-1.3389157056808472,0.0,1.3389157056808472
9,SchoolHoliday,-0.0016762228915467858,0.001056851469911635,0.0027330743614584208
10,StateHoliday,-8.337739564012736e-05,5.7123459555441514e-05,0.00014050085155759007
11,StoreType,-0.1836928278207779,0.0,0.1836928278207779
12,Assortment,-0.08422459661960602,0.0,0.08422459661960602
13,CompetitionDistance,0.004770289175212383,0.010952970013022423,0.0061826808378100395
14,AvgSales,-2.1091456413269043,0.0,2.1091456413269043
15,AvgCustomers,-1.0452570915222168,0.0,1.0452570915222168
16,AvgSalesPerCustomer,-0.3934648633003235,0.0,0.3934648633003235
