Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,-0.025853849947452545,0.0,0.025853849947452545
1,DayOfMonth,-0.018354184925556183,0.0,0.018354184925556183
2,Week,0.0003674381005112082,0.0004489335115067661,8.149540371960029e-05
3,Month,0.0007799810264259577,0.0007799810264259577,0.0
4,Year,0.0,0.0,-0.0
5,DayOfYear,0.002068473491817713,0.0021276106126606464,5.913715358474292e-05
6,DayOfWeek,-0.28168386220932007,0.0,0.28168386220932007
7,Open,0.0,0.0,-0.0
8,Promo,-0.22826984524726868,0.0,0.22826984524726868
9,SchoolHoliday,-0.0007826274377293885,0.0,0.0007826274377293885
10,StateHoliday,0.000237244603340514,0.000237244603340514,0.0
11,StoreType,-0.10320355743169785,0.0,0.10320355743169785
12,Assortment,-0.036553170531988144,0.0,0.036553170531988144
13,CompetitionDistance,-0.00542980432510376,0.0020609917119145393,0.007490796037018299
14,AvgSales,-0.3615805208683014,0.0,0.3615805208683014
15,AvgCustomers,-0.21708832681179047,0.0,0.21708832681179047
16,AvgSalesPerCustomer,-0.11954864114522934,0.0,0.11954864114522934
