Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,Store,-0.0011199271539226174,0.0,0.0011199271539226174
1,DayOfMonth,-0.0005903913988731802,0.0,0.0005903913988731802
2,Week,9.73941041593207e-06,9.73941041593207e-06,0.0
3,Month,1.4435523553402163e-05,1.4435523553402163e-05,0.0
4,Year,0.0,0.0,-0.0
5,DayOfYear,3.5864446545019746e-05,3.5864446545019746e-05,0.0
6,DayOfWeek,-0.009836681187152863,0.0,0.009836681187152863
7,Open,0.0,0.0,-0.0
8,Promo,-0.00773892505094409,0.0,0.00773892505094409
9,SchoolHoliday,-2.85637524939375e-05,0.0,2.85637524939375e-05
10,StateHoliday,6.335083526209928e-06,6.335083526209928e-06,0.0
11,StoreType,-0.003760554827749729,0.0,0.003760554827749729
12,Assortment,-0.0013863383792340755,0.0,0.0013863383792340755
13,CompetitionDistance,-0.0003089069214183837,0.0,0.0003089069214183837
14,AvgSales,-0.012584240175783634,0.0,0.012584240175783634
15,AvgCustomers,-0.007405297830700874,0.0,0.007405297830700874
16,AvgSalesPerCustomer,-0.00421601627022028,0.0,0.00421601627022028
