Feature_Idx,Feature_Name,Value
0,Store,-0.05226136086543458
1,DayOfMonth,-0.04241454541989861
2,Week,-0.05226136086543458
3,Month,-0.05411054173133055
4,Year,0.0
5,DayOfYear,-0.052261360865434585
6,DayOfWeek,-0.08453177541987465
7,Open,0.0
8,Promo,-0.004145839813680914
9,SchoolHoliday,-0.06986778839900239
10,StateHoliday,0.0
11,StoreType,-0.10812631947727615
12,Assortment,0.07388806539661631
13,CompetitionDistance,0.05218614227819853
14,AvgSales,-0.12839725175327188
15,AvgCustomers,-0.1140195853041016
16,AvgSalesPerCustomer,-0.15512127542001458
