Feature_Idx,Feature_Name,Value
0,Store,-0.04966107479513562
1,DayOfMonth,0.027038029720051756
2,Week,0.003751543778420774
3,Month,-0.004730838744702701
4,Year,0.0
5,DayOfYear,-0.08628503109199673
6,DayOfWeek,-0.08629184712103523
7,Open,0.0
8,Promo,-0.20925367848437726
9,SchoolHoliday,-0.05073659698782542
10,StateHoliday,0.0
11,StoreType,-0.00022905999315945484
12,Assortment,0.006184176018112829
13,CompetitionDistance,-0.029073960492432438
14,AvgSales,-0.23811528355189113
15,AvgCustomers,-0.18171907990667333
16,AvgSalesPerCustomer,0.0024724778326539274
