Feature_Idx,Feature_Name,Value
0,Store,-0.062053942892521766
1,DayOfMonth,-0.06205394289252177
2,Week,0.02782017369362554
3,Month,0.11230890174698191
4,Year,0.0
5,DayOfYear,-0.0620539428925218
6,DayOfWeek,-0.12057531944503051
7,Open,0.0
8,Promo,-0.1821490375513769
9,SchoolHoliday,0.020977751352308897
10,StateHoliday,0.0
11,StoreType,-0.07119313463125952
12,Assortment,-0.002276321205285294
13,CompetitionDistance,-0.03947379757215202
14,AvgSales,-0.20837228749385814
15,AvgCustomers,-0.09619569570066742
16,AvgSalesPerCustomer,-0.0620539428925218
