Feature_Idx,Feature_Name,Value
0,Store,-0.08982314370947134
1,DayOfMonth,-0.03163831578568775
2,Week,-0.008705180842974803
3,Month,-0.056230561622643
4,Year,0.0
5,DayOfYear,0.061466177749067555
6,DayOfWeek,-0.09946411234160993
7,Open,0.0
8,Promo,-0.1829048706119836
9,SchoolHoliday,0.006083621671471124
10,StateHoliday,0.0
11,StoreType,-0.01889406847223786
12,Assortment,-0.023892661149487727
13,CompetitionDistance,0.0429937034790344
14,AvgSales,-0.24867882024688512
15,AvgCustomers,-0.16228702440571488
16,AvgSalesPerCustomer,-0.013831390954257573
