Feature_Idx,Feature_Name,Value
0,Store,-0.07007951852622979
1,DayOfMonth,-0.04924518585839864
2,Week,0.006409401490763901
3,Month,-0.0002708856478983811
4,Year,0.0
5,DayOfYear,0.06828620820361639
6,DayOfWeek,-0.08266291903501159
7,Open,0.0
8,Promo,-0.23240114296358413
9,SchoolHoliday,0.0075769542172166695
10,StateHoliday,0.0
11,StoreType,0.0018023311723072211
12,Assortment,-0.014937671831313832
13,CompetitionDistance,-0.02214501246668793
14,AvgSales,-0.2952880090345633
15,AvgCustomers,-0.1664555271253814
16,AvgSalesPerCustomer,-0.023339382105980654
