Feature_Idx,Feature_Name,Value
0,Store,-0.043277095063833544
1,DayOfMonth,-0.025186644595700775
2,Week,0.013191551774609804
3,Month,-0.0015114567363780026
4,Year,0.0
5,DayOfYear,-0.011401852047540918
6,DayOfWeek,-0.10263720009880606
7,Open,0.0
8,Promo,-0.22602557844640886
9,SchoolHoliday,-0.009043469543584187
10,StateHoliday,0.08706955197269846
11,StoreType,-0.006043666354884669
12,Assortment,-0.005189425433926855
13,CompetitionDistance,0.0028134896049507373
14,AvgSales,-0.29557554488477683
15,AvgCustomers,-0.1759541810568888
16,AvgSalesPerCustomer,-0.01812594771180272
