Feature_Idx,Feature_Name,Value
0,Store,-0.034414066924960934
1,DayOfMonth,0.025484105851847447
2,Week,-0.037399979772033375
3,Month,-0.023105357401412237
4,Year,0.0
5,DayOfYear,-0.02637790037819336
6,DayOfWeek,-0.09691042407031465
7,Open,0.0
8,Promo,-0.21980831906621087
9,SchoolHoliday,0.022099831158108152
10,StateHoliday,0.0
11,StoreType,0.00639977425424857
12,Assortment,-0.015105292223482024
13,CompetitionDistance,0.002281544983924168
14,AvgSales,-0.2914396520021195
15,AvgCustomers,-0.1798560093711676
16,AvgSalesPerCustomer,-0.006296760387391043
