Feature_Idx,Feature_Name,Value
0,Store,-0.08721787875150973
1,DayOfMonth,-0.10305771434011375
2,Week,-0.1030577143401138
3,Month,-0.07854197560968582
4,Year,0.0
5,DayOfYear,0.011555920487361471
6,DayOfWeek,-0.09432761463836091
7,Open,0.0
8,Promo,-0.14509647003488452
9,SchoolHoliday,-0.017207161385043662
10,StateHoliday,0.0
11,StoreType,-0.0848269491634408
12,Assortment,-0.011728408084984985
13,CompetitionDistance,-0.053820260068259435
14,AvgSales,-0.11914671795778917
15,AvgCustomers,0.050483611798417004
16,AvgSalesPerCustomer,-0.01752795432599259
