Feature_Idx,Feature_Name,Value
0,age,-0.056861408975040155
1,workclass,-0.014405527243691277
2,education,0.013498097136469742
3,education_num,-0.08860575751786079
4,marital_status,0.026756412416404876
5,occupation,-0.013120339393016302
6,relationship,-0.15482151150379753
7,race,-0.000536768180061695
8,sex,-0.025136093299887412
9,capital_gain,-0.032774571226042964
10,capital_loss,-0.013369082706447552
11,hours_per_week,-0.006573261586476067
12,native_country,1.7972752882426728e-05
