Feature_Idx,Feature_Name,Value
0,age,-0.09628104392674793
1,workclass,-0.006608859480544324
2,education,-0.018786118626352613
3,education_num,-0.047195537528166846
4,marital_status,0.01145521553671816
5,occupation,-0.02179930739206117
6,relationship,-0.16554938054104473
7,race,0.0009345844085507076
8,sex,-0.0023631521725058775
9,capital_gain,-0.060269548299668456
10,capital_loss,-0.011452418416676656
11,hours_per_week,-0.016388920671537664
12,native_country,0.0008572119890154894
