,b_id,expl,L,c,seed
276,183,kernel_shap,286.4969420740785,52,5410
277,183,lime,726.503351280625,52,5410
278,183,kernel_shap,63.60757002386012,1352,5410
279,183,lime,110.4518008316136,1352,5410
280,1535,kernel_shap,184.24726175935027,52,9881
281,1535,lime,594.7672380897147,52,9881
282,1535,kernel_shap,60.19677355503956,1352,9881
283,1535,lime,104.82023964475698,1352,9881
284,306,kernel_shap,616.9794915120877,52,3596
285,306,lime,360.4704187268545,52,3596
286,306,kernel_shap,147.97531123449508,1352,3596
287,306,lime,114.90052256535697,1352,3596
288,2677,kernel_shap,398.5414272903868,52,2061
289,2677,lime,601.211997147544,52,2061
290,2677,kernel_shap,135.12800644350474,1352,2061
291,2677,lime,135.1877455023257,1352,2061
292,3806,kernel_shap,275.3804599807182,52,10817
293,3806,lime,669.1694193035765,52,10817
294,3806,kernel_shap,71.83540135571994,1352,10817
295,3806,lime,110.44404383129609,1352,10817
296,784,kernel_shap,708.2811322688228,52,7757
297,784,lime,673.7351922080367,52,7757
298,784,kernel_shap,83.20902355545665,1352,7757
299,784,lime,153.2791276320783,1352,7757
300,1178,kernel_shap,715.5672363625091,52,718
301,1178,lime,490.4992625929394,52,718
302,1178,kernel_shap,139.52593201418998,1352,718
303,1178,lime,132.92572694766687,1352,718
304,1011,kernel_shap,376.535771543876,52,8401
305,1011,lime,743.6184280754624,52,8401
306,1011,kernel_shap,93.50370316936882,1352,8401
307,1011,lime,138.4427214201716,1352,8401
308,984,kernel_shap,408.41338611824864,52,723
309,984,lime,452.4215953994414,52,723
310,984,kernel_shap,74.53514851543457,1352,723
311,984,lime,236.0638102915321,1352,723
312,2623,kernel_shap,233.5849930954887,52,2448
313,2623,lime,472.9983137598493,52,2448
314,2623,kernel_shap,43.34939375333804,1352,2448
315,2623,lime,114.24930386257942,1352,2448
316,4357,kernel_shap,411.4852308539951,52,764
317,4357,lime,476.6995655543643,52,764
318,4357,kernel_shap,75.2919182219124,1352,764
319,4357,lime,84.8756611663442,1352,764
320,1079,kernel_shap,149.1086145221271,52,8187
321,1079,lime,881.4220066039165,52,8187
322,1079,kernel_shap,31.415953305603896,1352,8187
323,1079,lime,143.48737913742602,1352,8187
324,4231,kernel_shap,545.126783578526,52,8660
325,4231,lime,445.5750849880493,52,8660
326,4231,kernel_shap,59.9493377016785,1352,8660
327,4231,lime,111.59983823928496,1352,8660
328,4487,kernel_shap,266.2313703435318,52,4779
329,4487,lime,520.4009161665088,52,4779
330,4487,kernel_shap,71.92874598065039,1352,4779
331,4487,lime,126.91538393858764,1352,4779
332,4010,kernel_shap,321.13958540328514,52,8778
333,4010,lime,714.7868764233838,52,8778
334,4010,kernel_shap,57.21463566569782,1352,8778
335,4010,lime,125.7191318616591,1352,8778
336,3812,kernel_shap,430.116312124019,52,1765
337,3812,lime,573.912295259895,52,1765
338,3812,kernel_shap,49.27305116806159,1352,1765
339,3812,lime,112.52290659653764,1352,1765
340,3465,kernel_shap,286.20313857011035,52,194
341,3465,lime,787.9289176680459,52,194
342,3465,kernel_shap,31.070069046741786,1352,194
343,3465,lime,135.32658687142649,1352,194
344,4066,kernel_shap,430.00570839521737,52,3957
345,4066,lime,754.6694727926887,52,3957
346,4066,kernel_shap,161.4813261488686,1352,3957
347,4066,lime,115.22907412111051,1352,3957
348,2457,kernel_shap,357.5948762159991,52,3317
349,2457,lime,534.086846422148,52,3317
350,2457,kernel_shap,115.87743896582732,1352,3317
351,2457,lime,180.637952475394,1352,3317
352,2376,kernel_shap,472.4054266414789,52,6922
353,2376,lime,261.1338375456928,52,6922
354,2376,kernel_shap,104.55716036317608,1352,6922
355,2376,lime,166.33705076991475,1352,6922
356,3597,kernel_shap,287.83623457783153,52,2224
357,3597,lime,602.8292654987187,52,2224
358,3597,kernel_shap,73.06067562581413,1352,2224
359,3597,lime,111.69752312175464,1352,2224
360,1564,kernel_shap,604.5300337647288,52,4794
361,1564,lime,362.4158707324741,52,4794
362,1564,kernel_shap,137.52214079755348,1352,4794
363,1564,lime,197.7936135874477,1352,4794
364,2742,kernel_shap,388.366406588522,52,1845
365,2742,lime,791.8523673097638,52,1845
366,2742,kernel_shap,52.62798371667952,1352,1845
367,2742,lime,125.43640897765285,1352,1845
368,1104,kernel_shap,196.21632881843067,52,4452
369,1104,lime,901.0966940832832,52,4452
370,1104,kernel_shap,177.06566591177443,1352,4452
371,1104,lime,124.78483019319611,1352,4452
372,2195,kernel_shap,227.6011006976231,52,1983
373,2195,lime,1013.6821951805726,52,1983
374,2195,kernel_shap,47.706781664091935,1352,1983
375,2195,lime,150.12769864462308,1352,1983
376,3744,kernel_shap,688.3795219512685,52,1676
377,3744,lime,287.5982950374186,52,1676
378,3744,kernel_shap,89.12490190706522,1352,1676
379,3744,lime,122.97958748396064,1352,1676
380,3851,kernel_shap,204.90204648828723,52,8916
381,3851,lime,685.9503871793002,52,8916
382,3851,kernel_shap,96.08368554716591,1352,8916
383,3851,lime,133.83938657031212,1352,8916
384,323,kernel_shap,134.28345397262297,52,1201
385,323,lime,522.0508807709089,52,1201
386,323,kernel_shap,28.022589503698253,1352,1201
387,323,lime,134.616326079648,1352,1201
388,1960,kernel_shap,566.971293028968,52,7624
389,1960,lime,943.2993207728986,52,7624
390,1960,kernel_shap,68.64784953350583,1352,7624
391,1960,lime,113.661866061078,1352,7624
392,782,kernel_shap,370.5639419013398,52,9041
393,782,lime,1082.686209357495,52,9041
394,782,kernel_shap,62.01231437354343,1352,9041
395,782,lime,134.5540486398693,1352,9041
396,1878,kernel_shap,222.3598416284702,52,482
397,1878,lime,821.0973310313974,52,482
398,1878,kernel_shap,40.636745897893,1352,482
399,1878,lime,101.94281500315375,1352,482
