,b_id,expl,L,p,cent,s,seed
77,1261,hyperx,4.412499985091893,2,eigenvector,"(25, 26)",8548
78,1261,hyperx,68.88937783472915,2,eigenvector,"(0, 2)",8548
79,1261,hyperx,89.95638303789337,2,eigenvector,"(24, 26)",8548
80,1753,hyperx,36.289118990283875,10,degree,"(0, 1)",10837
81,1753,hyperx,5.416371796661725,10,degree,"(25, 26)",10837
82,1753,hyperx,61.20318642081852,10,degree,"(0, 2)",10837
83,1753,hyperx,201.0501297235102,10,degree,"(24, 26)",10837
84,1753,hyperx,20.92087209292839,10,eigenvector,"(0, 1)",10837
85,1753,hyperx,24.3039655433136,10,eigenvector,"(25, 26)",10837
86,1753,hyperx,56.123080229836134,10,eigenvector,"(0, 2)",10837
87,1753,hyperx,664.0803698957179,10,eigenvector,"(24, 26)",10837
88,1753,hyperx,20.92087209292839,1,eigenvector,"(0, 1)",10837
89,1753,hyperx,5.852492904919499,1,eigenvector,"(25, 26)",10837
90,1753,hyperx,45.48633015802122,1,eigenvector,"(0, 2)",10837
91,1753,hyperx,151.00193441145322,1,eigenvector,"(24, 26)",10837
92,1753,hyperx,20.92087209292839,2,eigenvector,"(0, 1)",10837
93,1753,hyperx,11.191480719230851,2,eigenvector,"(25, 26)",10837
94,1753,hyperx,45.48633015802122,2,eigenvector,"(0, 2)",10837
95,1753,hyperx,205.950812833852,2,eigenvector,"(24, 26)",10837
96,1730,hyperx,49.628315126423004,10,degree,"(0, 1)",5219
97,1730,hyperx,16.04725019925929,10,degree,"(25, 26)",5219
98,1730,hyperx,94.82917040266365,10,degree,"(0, 2)",5219
99,1730,hyperx,311.93362985407117,10,degree,"(24, 26)",5219
100,1730,hyperx,53.19336150879038,10,eigenvector,"(0, 1)",5219
101,1730,hyperx,51.89554585879211,10,eigenvector,"(25, 26)",5219
102,1730,hyperx,108.52415194233939,10,eigenvector,"(0, 2)",5219
103,1730,hyperx,673.5883487317042,10,eigenvector,"(24, 26)",5219
104,1730,hyperx,53.19336150879038,1,eigenvector,"(0, 1)",5219
105,1730,hyperx,13.695282169297016,1,eigenvector,"(25, 26)",5219
106,1730,hyperx,89.8500459140338,1,eigenvector,"(0, 2)",5219
107,1730,hyperx,196.07357194601894,1,eigenvector,"(24, 26)",5219
108,1730,hyperx,53.19336150879038,2,eigenvector,"(0, 1)",5219
109,1730,hyperx,18.82990634057675,2,eigenvector,"(25, 26)",5219
110,1730,hyperx,89.8500459140338,2,eigenvector,"(0, 2)",5219
111,1730,hyperx,370.9573693177869,2,eigenvector,"(24, 26)",5219
112,1877,hyperx,47.347654290305286,10,degree,"(0, 1)",3222
113,1877,hyperx,3.2958812932680672,10,degree,"(25, 26)",3222
114,1877,hyperx,75.75057116296352,10,degree,"(0, 2)",3222
115,1877,hyperx,122.75788514364692,10,degree,"(24, 26)",3222
116,1877,hyperx,41.25820128512671,10,eigenvector,"(0, 1)",3222
117,1877,hyperx,13.390563271955783,10,eigenvector,"(25, 26)",3222
118,1877,hyperx,77.56847925024766,10,eigenvector,"(0, 2)",3222
119,1877,hyperx,227.25984854118295,10,eigenvector,"(24, 26)",3222
120,1877,hyperx,41.25820128512671,1,eigenvector,"(0, 1)",3222
121,1877,hyperx,4.283800509871038,1,eigenvector,"(25, 26)",3222
122,1877,hyperx,68.72863607702845,1,eigenvector,"(0, 2)",3222
123,1877,hyperx,96.63655344793693,1,eigenvector,"(24, 26)",3222
124,1877,hyperx,41.25820128512671,2,eigenvector,"(0, 1)",3222
125,1877,hyperx,5.882908617713241,2,eigenvector,"(25, 26)",3222
126,1877,hyperx,68.72863607702845,2,eigenvector,"(0, 2)",3222
127,1877,hyperx,87.81778785216612,2,eigenvector,"(24, 26)",3222
128,2922,hyperx,75.53157631990891,10,degree,"(0, 1)",7542
129,2922,hyperx,6.358008609298816,10,degree,"(25, 26)",7542
130,2922,hyperx,118.45363078056278,10,degree,"(0, 2)",7542
131,2922,hyperx,179.12790007849785,10,degree,"(24, 26)",7542
132,2922,hyperx,72.3937246376584,10,eigenvector,"(0, 1)",7542
133,2922,hyperx,46.23380669552469,10,eigenvector,"(25, 26)",7542
134,2922,hyperx,142.47441428060023,10,eigenvector,"(0, 2)",7542
135,2922,hyperx,540.1185530723922,10,eigenvector,"(24, 26)",7542
136,2922,hyperx,72.3937246376584,1,eigenvector,"(0, 1)",7542
137,2922,hyperx,4.990135364871762,1,eigenvector,"(25, 26)",7542
138,2922,hyperx,137.46103274713138,1,eigenvector,"(0, 2)",7542
139,2922,hyperx,154.6073443285176,1,eigenvector,"(24, 26)",7542
140,2922,hyperx,72.3937246376584,2,eigenvector,"(0, 1)",7542
141,2922,hyperx,8.559026871229756,2,eigenvector,"(25, 26)",7542
142,2922,hyperx,137.46103274713138,2,eigenvector,"(0, 2)",7542
143,2922,hyperx,293.5690928078606,2,eigenvector,"(24, 26)",7542
144,1186,hyperx,21.86338194474705,10,degree,"(0, 1)",8172
145,1186,hyperx,2.241850575767607,10,degree,"(25, 26)",8172
146,1186,hyperx,59.111456524631045,10,degree,"(0, 2)",8172
147,1186,hyperx,27.778842967147447,10,degree,"(24, 26)",8172
148,1186,hyperx,20.502541739857886,10,eigenvector,"(0, 1)",8172
149,1186,hyperx,4.439252518946255,10,eigenvector,"(25, 26)",8172
150,1186,hyperx,47.428656319983496,10,eigenvector,"(0, 2)",8172
151,1186,hyperx,84.52461122682291,10,eigenvector,"(24, 26)",8172
152,1186,hyperx,20.502541739857886,1,eigenvector,"(0, 1)",8172
153,1186,hyperx,1.5199646773729478,1,eigenvector,"(25, 26)",8172
154,1186,hyperx,54.967793109457574,1,eigenvector,"(0, 2)",8172
155,1186,hyperx,41.95386390169237,1,eigenvector,"(24, 26)",8172
156,1186,hyperx,20.502541739857886,2,eigenvector,"(0, 1)",8172
157,1186,hyperx,2.6044076219065326,2,eigenvector,"(25, 26)",8172
158,1186,hyperx,54.967793109457574,2,eigenvector,"(0, 2)",8172
159,1186,hyperx,64.33894456251635,2,eigenvector,"(24, 26)",8172
160,40,hyperx,99.52830664788436,10,degree,"(0, 1)",9035
161,40,hyperx,8.991980036923762,10,degree,"(25, 26)",9035
162,40,hyperx,259.4321599188673,10,degree,"(0, 2)",9035
163,40,hyperx,164.90546392198556,10,degree,"(24, 26)",9035
