Feature_Idx,Feature_Name,Value
0,Store,-0.003500979882252306
1,DayOfMonth,-0.016348854378808984
2,Week,-9.640566910362606e-05
3,Month,0.00032049408441855965
4,Year,0.0
5,DayOfYear,0.0016937725453436976
6,DayOfWeek,-0.1341960434973993
7,Open,0.0
8,Promo,-0.14511548024189624
9,SchoolHoliday,-0.0002482278437554779
10,StateHoliday,0.0
11,StoreType,-0.02051408182216597
12,Assortment,-0.010842784447005966
13,CompetitionDistance,0.001665156400656403
14,AvgSales,-0.23242342037490643
15,AvgCustomers,-0.11530446994153762
16,AvgSalesPerCustomer,-0.028664328961432745
