Feature_Idx,Feature_Name,Value
0,Store,-0.0011410766177706064
1,DayOfMonth,-0.013358084890577734
2,Week,0.00011960188547761103
3,Month,0.0003028768963284634
4,Year,0.0
5,DayOfYear,0.0014664220809935064
6,DayOfWeek,-0.11537867069244395
7,Open,0.0
8,Promo,-0.13951972166697185
9,SchoolHoliday,-0.00020135561625167497
10,StateHoliday,0.0
11,StoreType,-0.023921198844909657
12,Assortment,-0.015540779431660804
13,CompetitionDistance,0.004067950248718372
14,AvgSales,-0.23171335220336925
15,AvgCustomers,-0.13072699122958692
16,AvgSalesPerCustomer,-0.03803127394782161
