Feature_Idx,Feature_Name,Value
0,Store,-0.00773542398601973
1,DayOfMonth,-0.019470369725302018
2,Week,0.0019056913332276793
3,Month,0.0011417097889911837
4,Year,0.0
5,DayOfYear,-0.0005888593361430294
6,DayOfWeek,-0.11746789079441076
7,Open,0.0
8,Promo,-0.11471756074364785
9,SchoolHoliday,1.62704051822053e-05
10,StateHoliday,0.0
11,StoreType,-0.009154099693918973
12,Assortment,-0.004699836469956936
13,CompetitionDistance,0.002717414943603044
14,AvgSales,-0.24521051587592357
15,AvgCustomers,-0.10940423709434531
16,AvgSalesPerCustomer,-0.049167945196993454
