Feature_Idx,Feature_Name,Value
0,Store,-0.0029329894775589884
1,DayOfMonth,-0.016313995949001188
2,Week,-2.9832609517330462e-05
3,Month,-0.0003817001115822228
4,Year,0.0
5,DayOfYear,0.0004509764906104281
6,DayOfWeek,-0.1251732689612586
7,Open,0.0
8,Promo,-0.12808370974132952
9,SchoolHoliday,-0.00020410593814036072
10,StateHoliday,0.0
11,StoreType,-0.02510777193170892
12,Assortment,-0.008758333723729398
13,CompetitionDistance,-0.0013826061589704698
14,AvgSales,-0.21810135210935608
15,AvgCustomers,-0.10370179323004262
16,AvgSalesPerCustomer,-0.04211518852356822
