Feature_Idx,Feature_Name,Value
0,Store,-0.005214160560732115
1,DayOfMonth,-0.016414403880868417
2,Week,0.0003645547776932888
3,Month,-9.663491590780682e-05
4,Year,0.0
5,DayOfYear,0.0030899281423907685
6,DayOfWeek,-0.1192705128626953
7,Open,0.0
8,Promo,-0.16355707137681136
9,SchoolHoliday,-0.0001454479455754215
10,StateHoliday,0.0
11,StoreType,-0.029158533742252527
12,Assortment,-0.007316269145758421
13,CompetitionDistance,-0.005121648563552215
14,AvgSales,-0.2259265869808908
15,AvgCustomers,-0.0613716822649039
16,AvgSalesPerCustomer,-0.04169721010029145
