Feature_Idx,Feature_Name,Value
0,Store,-0.003034691689889599
1,DayOfMonth,-0.015189932509313664
2,Week,0.00014712369894685616
3,Month,0.0003642236130146928
4,Year,0.0
5,DayOfYear,0.001513677428040242
6,DayOfWeek,-0.12782424136053158
7,Open,0.0
8,Promo,-0.14001656695257256
9,SchoolHoliday,-0.00021067577072338367
10,StateHoliday,0.0
11,StoreType,-0.026923053717311383
12,Assortment,-0.01326288989827593
13,CompetitionDistance,0.0015841216678860997
14,AvgSales,-0.2310003837150862
15,AvgCustomers,-0.11558039224600487
16,AvgSalesPerCustomer,-0.03414197257802451
