Feature_Idx,Feature_Name,Value
0,Store,-0.001088166121138762
1,DayOfMonth,-0.019245467108284352
2,Week,-0.0004898854593954815
3,Month,0.0006425123848725828
4,Year,0.0
5,DayOfYear,0.0022587592179864413
6,DayOfWeek,-0.1314557360391361
7,Open,0.0
8,Promo,-0.1282906991912154
9,SchoolHoliday,0.0002542403116671925
10,StateHoliday,0.0
11,StoreType,-0.028141198107439654
12,Assortment,-0.014791597375109725
13,CompetitionDistance,-0.0036872233821372254
14,AvgSales,-0.14731543071093067
15,AvgCustomers,-0.17509084510773912
16,AvgSalesPerCustomer,-0.025394911184778213
