Feature_Idx,Feature_Name,Value
0,Store,-0.0034421342535863562
1,DayOfMonth,-0.01598618308200115
2,Week,-5.444484420968617e-05
3,Month,0.00041337031352368464
4,Year,0.0
5,DayOfYear,0.0016074050830889443
6,DayOfWeek,-0.12961504326591008
7,Open,0.0
8,Promo,-0.14309791721875162
9,SchoolHoliday,-0.00024851153168496307
10,StateHoliday,0.0
11,StoreType,-0.01974043568478355
12,Assortment,-0.012236165819288826
13,CompetitionDistance,0.0004987134209162387
14,AvgSales,-0.232811119828043
15,AvgCustomers,-0.11954621954809268
16,AvgSalesPerCustomer,-0.029316967771023106
