Feature_Idx,Feature_Name,Value
0,Store,-0.005013359387715867
1,DayOfMonth,-0.01697207715776224
2,Week,-9.756777021626324e-05
3,Month,0.0005803791681925969
4,Year,0.0
5,DayOfYear,0.0013868898815579832
6,DayOfWeek,-0.13587005244361045
7,Open,0.0
8,Promo,-0.1388284847471447
9,SchoolHoliday,-0.00028386592864995365
10,StateHoliday,0.0
11,StoreType,-0.0151705296834308
12,Assortment,-0.012766451835632273
13,CompetitionDistance,-0.0013348367479113004
14,AvgSales,-0.23710930612352163
15,AvgCustomers,-0.11133452786339643
16,AvgSalesPerCustomer,-0.030761863390604778
