Feature_Idx,Feature_Name,Value
0,Store,-0.0042532504535687824
1,DayOfMonth,-0.01578783405638228
2,Week,0.0001157410747316481
3,Month,0.0003916043097656739
4,Year,0.0
5,DayOfYear,0.002105257221049232
6,DayOfWeek,-0.11625633738775777
7,Open,0.0
8,Promo,-0.11862681109197866
9,SchoolHoliday,-0.00048356576488132644
10,StateHoliday,0.0
11,StoreType,-0.025290621547683505
12,Assortment,-0.005351010335681756
13,CompetitionDistance,-0.0029166296566735983
14,AvgSales,-0.23955663730001325
15,AvgCustomers,-0.1115664543962588
16,AvgSalesPerCustomer,-0.03435912050272647
