Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,age,-0.18865489959716797,0.0,0.18865489959716797
1,workclass,-0.00171488500200212,0.0,0.00171488500200212
2,education,-0.014551041647791862,0.0,0.014551041647791862
3,education_num,-0.07376619428396225,0.0,0.07376619428396225
4,marital_status,0.03799852356314659,0.03799852356314659,0.0
5,occupation,-0.021699486300349236,0.0,0.021699486300349236
6,relationship,-0.26368945837020874,0.0,0.26368945837020874
7,race,0.0033204255159944296,0.0033204255159944296,0.0
8,sex,-0.08957641571760178,0.0,0.08957641571760178
9,capital_gain,-0.03560396656394005,0.0,0.03560396656394005
10,capital_loss,-0.008843152783811092,0.0,0.008843152783811092
11,hours_per_week,-0.027874525636434555,0.0,0.027874525636434555
12,native_country,0.003966003190726042,0.003966003190726042,0.0
